# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	22705
#@/user_id	11b0f9ec-6c9a-4124-8c37-c6e1e2ec6fbd
a 	啊	c=136 d=1 t=22529
a 	阿	c=3 d=1 t=13693
a bi 	阿比	c=1 d=1 t=5837
a bo luo 	阿波羅	c=1 d=1 t=7591
a han 	阿含	c=2 d=1.00037 t=15990
a luo 	啊羅	c=2 d=1.05393 t=13692
a yi 	阿姨	c=1 d=1 t=2835
ai 	哀	c=2 d=1 t=18973
ai 	愛	c=3 d=1 t=18861
ai ai 	皚皚	c=1 d=1 t=16635
ai ding bao 	愛丁堡	c=2 d=1 t=9926
ai tan 	哀嘆	c=1 d=1 t=16088
ai wu ji wu 	愛屋及烏	c=2 d=1.99501 t=22463
ai you 	哎呦	c=0 d=0.1 t=41
ai you wo kao 	哎呦我靠	c=1 d=1 t=42
ai zhe 	挨着	c=1 d=1 t=5841
ai zheng 	癌症	c=1 d=1 t=8408
an 	俺	c=0 d=0.1 t=1262
an 	安	c=1 d=1.09005 t=13071
an 	按	c=2 d=1 t=18350
an 	案	c=1 d=1 t=1868
an bei 	安倍	c=1 d=1 t=429
an hei 	暗黑	c=0 d=0.1 t=4577
an hei zhe 	暗黑者	c=6 d=2.98703 t=6285
an jing 	安靜	c=1 d=1 t=17113
an li shuo 	按理說	c=1 d=1 t=19095
an qi lai 	按起來	c=1 d=1 t=1271
an quan 	安全	c=3 d=1 t=11656
an shi 	按時	c=1 d=1 t=9943
an wei 	安慰	c=1 d=1 t=3999
an xia 	按下	c=1 d=1 t=16083
an xia bu biao 	按下不表	c=1 d=1 t=19006
an xia qu 	按下去	c=1 d=1 t=6569
an ye yong shang 	俺也用上	c=1 d=1 t=1263
an zhao 	按照	c=9 d=3.42402 t=20549
an zhuang 	安裝	c=12 d=1 t=21734
an zhuang le 	安裝了	c=1 d=1 t=7620
an zhuang pan 	安裝盤	c=1 d=1 t=16152
an zu 	安足	c=0 d=0.1 t=17192
an zu ang 	安足昂	c=1 d=1 t=17193
ang 	昂	c=0 d=0.1 t=17192
ang bian 	昂變	c=1 d=1 t=2944
ao 	奧	c=2 d=1 t=17481
ao gu 	傲骨	c=0 d=0.1 t=61
ao gu xian qi 	傲骨賢妻	c=32 d=1 t=6286
ao gu xian qi le 	傲骨賢妻了	c=1 d=1 t=109
ba 	八	c=3 d=1 t=18671
ba 	吧	c=36 d=1.66474 t=19270
ba 	把	c=46 d=0.715989 t=22048
ba 	拔	c=1 d=1 t=10521
ba 	霸	c=1 d=1.07531 t=19422
ba ba 	爸爸	c=1 d=1 t=2831
ba jian 	拔劍	c=0 d=0.1 t=1283
ba jian qin 	拔劍親	c=1 d=1 t=1284
ba la 	巴拉	c=0 d=0.1 t=5608
ba le 	罷了	c=1 d=1 t=16069
ba li 	巴黎	c=2 d=1.57801 t=4126
ba li you xie 	巴黎有些	c=1 d=1 t=3861
ba meng 	八蒙	c=1 d=1 t=19210
ba shi nian dai 	八十年代	c=1 d=1 t=9425
ba wo 	把握	c=1 d=1 t=3240
ba ya 	拔牙	c=1 d=1 t=116
ba ye 	霸業	c=1 d=1 t=11780
bai 	擺	c=1 d=1 t=15106
bai 	白	c=3 d=1 t=12460
bai 	百	c=1 d=1 t=12808
bai du 	百度	c=5 d=1 t=9640
bai fang 	擺放	c=0 d=0.1 t=4919
bai fang wei zhi 	擺放位置	c=1 d=1 t=4920
